,KEY,IS_BOX_INTERSECTING,IS_TIME_INTERSECTING,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,STATIONID,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
87,2017/04/06/KLWX/KLWX20170406_101344_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:13:44,2017-04-06 10:18:54
88,2017/04/06/KLWX/KLWX20170406_101704_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:17:04,2017-04-06 10:22:14
89,2017/04/06/KLWX/KLWX20170406_102039_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:20:39,2017-04-06 10:25:49
90,2017/04/06/KLWX/KLWX20170406_102359_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:23:59,2017-04-06 10:29:09
91,2017/04/06/KLWX/KLWX20170406_102720_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:27:20,2017-04-06 10:32:30
92,2017/04/06/KLWX/KLWX20170406_103040_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:30:40,2017-04-06 10:35:50
93,2017/04/06/KLWX/KLWX20170406_103400_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:34:00,2017-04-06 10:39:10
94,2017/04/06/KLWX/KLWX20170406_103720_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:37:20,2017-04-06 10:42:30
95,2017/04/06/KLWX/KLWX20170406_104041_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:40:41,2017-04-06 10:45:51
96,2017/04/06/KLWX/KLWX20170406_104401_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:44:01,2017-04-06 10:49:11
97,2017/04/06/KLWX/KLWX20170406_104721_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:47:21,2017-04-06 10:52:31
98,2017/04/06/KLWX/KLWX20170406_105042_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:50:42,2017-04-06 10:55:52
99,2017/04/06/KLWX/KLWX20170406_105402_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:54:02,2017-04-06 10:59:12
100,2017/04/06/KLWX/KLWX20170406_105722_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 10:57:22,2017-04-06 11:02:32
101,2017/04/06/KLWX/KLWX20170406_110042_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:00:42,2017-04-06 11:05:52
102,2017/04/06/KLWX/KLWX20170406_110403_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:04:03,2017-04-06 11:09:13
103,2017/04/06/KLWX/KLWX20170406_110723_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:07:23,2017-04-06 11:12:33
104,2017/04/06/KLWX/KLWX20170406_111043_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:10:43,2017-04-06 11:15:53
105,2017/04/06/KLWX/KLWX20170406_111403_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:14:03,2017-04-06 11:19:13
106,2017/04/06/KLWX/KLWX20170406_111738_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:17:38,2017-04-06 11:22:48
107,2017/04/06/KLWX/KLWX20170406_112112_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:21:12,2017-04-06 11:26:22
108,2017/04/06/KLWX/KLWX20170406_112459_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:24:59,2017-04-06 11:30:09
109,2017/04/06/KLWX/KLWX20170406_112901_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:29:01,2017-04-06 11:34:11
110,2017/04/06/KLWX/KLWX20170406_113318_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:33:18,2017-04-06 11:38:28
111,2017/04/06/KLWX/KLWX20170406_113750_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:37:50,2017-04-06 11:43:00
112,2017/04/06/KLWX/KLWX20170406_114222_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:42:22,2017-04-06 11:47:32
113,2017/04/06/KLWX/KLWX20170406_114654_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:46:54,2017-04-06 11:52:04
114,2017/04/06/KLWX/KLWX20170406_115126_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:51:26,2017-04-06 11:56:36
115,2017/04/06/KLWX/KLWX20170406_115559_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 11:55:59,2017-04-06 12:01:09
116,2017/04/06/KLWX/KLWX20170406_120031_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 12:00:31,2017-04-06 12:05:41
117,2017/04/06/KLWX/KLWX20170406_120504_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 12:05:04,2017-04-06 12:10:14
118,2017/04/06/KLWX/KLWX20170406_120936_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 12:09:36,2017-04-06 12:14:46
119,2017/04/06/KLWX/KLWX20170406_121408_V06,1.0,0.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 12:14:08,2017-04-06 12:19:18
