,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
,KEY,FOREIGN_KEY,SIZE,IS_TIME_INTERSECTING,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
74,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C08_G16_s20172050032187_e20172050034559_c20172050035001.nc,0,3.6743620000000004,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:32:18,2017-07-24 00:34:55
75,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C08_G16_s20172050037187_e20172050039559_c20172050040001.nc,0,3.6696050000000002,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:37:18,2017-07-24 00:39:55
76,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C08_G16_s20172050042187_e20172050044559_c20172050044599.nc,0,3.6670160000000003,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:42:18,2017-07-24 00:44:55
77,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C08_G16_s20172050047187_e20172050049559_c20172050050002.nc,0,3.664339,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:47:18,2017-07-24 00:49:55
78,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C08_G16_s20172050052187_e20172050054559_c20172050055001.nc,0,3.661451,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:52:18,2017-07-24 00:54:55
79,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C08_G16_s20172050057187_e20172050059559_c20172050059599.nc,0,3.658837,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:57:18,2017-07-24 00:59:55
80,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C09_G16_s20172050012187_e20172050014565_c20172050015002.nc,0,3.506613,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:12:18,2017-07-24 00:14:56
81,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C09_G16_s20172050017187_e20172050019565_c20172050019599.nc,0,3.506121,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:17:18,2017-07-24 00:19:56
82,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C09_G16_s20172050022187_e20172050024565_c20172050025002.nc,0,3.5029120000000002,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:22:18,2017-07-24 00:24:56
83,ABI-L1b-RadC/2017/205/00/OR_ABI-L1b-RadC-M3C09_G16_s20172050027187_e20172050029565_c20172050029599.nc,0,3.501246,True,2017-07-24 00:14:00,2017-07-24 01:16:00,2017-07-24 00:27:18,2017-07-24 00:29:56
